Dest,Delay_Probability
PIA,0.07120762016586281
PIB,0.04443328050397217
PIE,0.06895386273934592
PIH,0.0938338658146965
PIR,0.05673131313131313
PIT,0.06690420280977077
PLN,0.13114320616425484
PNS,0.062330878527744084
PQI,0.0751216853105446
PRC,0.024430234074460454
PSM,0.0
PSP,0.028557039664285674
PUW,0.03031062312312312
PVU,0.0039960145279294215
PWM,0.03680177015595576
RDD,0.021305420099770194
RDU,0.06203347624512935
RFD,0.0
RHI,0.05682089609006542
RIC,0.08106149637062059
RIW,0.09059406870638755
RKS,0.04278700745473908
RNO,0.050090385511106485
ROA,0.07901061115947616
ROC,0.05173037915627907
ROW,0.03654647801612658
RST,0.10621152228314777
RSW,0.03918885990549499
SAF,0.05378034334171999
SAN,0.048365705467977284
SAT,0.05173512898216343
SAV,0.05903752878797935
SBA,0.037204824368018814
SBN,0.04592940697570989
SBP,0.038509200706108665
SBY,0.11417997870074548
SCK,0.023833191930618402
SEA,0.0898732269579275
SFB,0.03595983349224201
SFO,0.0818715623653324
SGF,0.09158096828334593
SGU,0.05865696840026333
SHD,0.020282934691880375
SHR,0.06572263670136011
SHV,0.0904734280626051
SJC,0.04336694826581094
SJT,0.14301633698139715
SLC,0.0835650207938456
SLN,0.032457484830338855
SMF,0.057072582282662855
SMX,0.00973941368078176
SNA,0.05356567416838396
SPI,0.09818305673258003
SPS,0.12531203407880726
STL,0.05258930961993186
STS,0.014975311645779529
SUN,0.03421138776978036
SUX,0.05229310923140227
SWF,0.035087855987612125
SWO,0.08101703940362087
SYR,0.05681486407124674
TBN,0.044347826086956525
TLH,0.1000143207645077
TOL,0.08905014829523576
TPA,0.06055288513846515
TRI,0.1208086512119755
TTN,0.014105275384869371
TUL,0.07315938583785722
TUS,0.06409272983471674
TVC,0.05766549371750974
TWF,0.06160290427970614
TXK,0.11478966986155485
TYR,0.11477486868468077
TYS,0.10139211314068224
VLD,0.11951011714589989
WYS,0.056999999999999995
XWA,0.10698577103982052
YKM,0.023102860286028603
