Origin,Dest,Delay_Probability
ABI,DFW,0.22287539936102232
ABI,IAH,0.039797979797979804
ABQ,DFW,0.16684414864115366
ABQ,ATL,0.02722222222222222
ABQ,AUS,0.028090737240075613
ABQ,BWI,0.005566502463054187
ABQ,DAL,0.03296173044925125
ABQ,DEN,0.12966306156405988
ABQ,HOU,0.01988919247115968
ABQ,IAH,0.07976982806433722
ABQ,JFK,0.01781779661016949
ABQ,LAS,0.038352745424292845
ABQ,LAX,0.11054076539101498
ABQ,MCI,0.006958041958041958
ABQ,MCO,0.01063157894736842
ABQ,MDW,0.008252911813643926
ABQ,MSP,0.00881057268722467
ABQ,OAK,0.0018100701083492673
ABQ,ORD,0.08134594298245613
ABQ,PDX,0.019519104084321476
ABQ,PHX,0.08347171381031614
ABQ,SAN,0.016816559600285507
ABQ,SEA,0.03439166666666667
ABQ,SFO,0.04073628709454796
ABQ,SJC,0.010526315789473684
ABQ,SLC,0.13796390935742017
ABQ,SNA,0.5
ABQ,EWR,0.0
ABQ,SAT,0.015
ABQ,BUR,0.010035335689045936
ABQ,LGB,0.0
ABR,MSP,0.11302510269283433
ABY,ATL,0.08253205128205128
ACT,DFW,0.1817252396166134
ACV,DEN,0.0515686274509804
ACV,LAX,0.03936480186480186
ACV,PHX,0.04868852459016393
ACV,SFO,0.047976570820021304
AEX,DFW,0.18543130990415338
AEX,ATL,0.13339743589743588
AEX,IAH,0.04667637540453075
AEX,CLT,0.038205128205128204
AGS,DFW,0.07933797909407665
AGS,ATL,0.12705910543130988
AGS,ORD,0.0
AGS,CLT,0.12572949946751863
AGS,PHL,0.0
AGS,DCA,0.06443548387096774
AGS,LGA,0.32666666666666666
AGS,MIA,0.0
ALO,ORD,0.030370607028753993
ALW,SEA,0.05899467518636848
ALW,PUW,0.0
AMA,DFW,0.27185385468663337
AMA,AUS,0.010482799525504153
AMA,DAL,0.028968386023294504
AMA,DEN,0.04079145867997782
AMA,HOU,0.00014084507042253522
AMA,IAH,0.06880492753623188
AMA,LAS,0.015244755244755243
AMA,PHX,0.0
APN,DTW,0.08684390689183022
APN,PLN,0.11723529411764706
ART,PHL,0.03613418530351438
ASE,DFW,0.1751580529822851
ASE,ATL,0.2641471734892787
ASE,AUS,0.023157894736842106
ASE,DEN,0.28827724358974355
ASE,IAH,0.1973720930232558
ASE,LAX,0.19840408805031448
ASE,MSP,0.12333333333333334
ASE,ORD,0.2569757834757835
ASE,PHX,0.11708333333333333
ASE,SFO,0.1317457142857143
ASE,SLC,0.14018867924528303
ASE,SNA,0.006
ASE,MTJ,0.0
ATL,DFW,0.2656433721575152
ATL,AUS,0.14819744869661675
ATL,BWI,0.18601838206164328
ATL,DAL,0.13627287853577372
ATL,DEN,0.18467554076539103
ATL,HOU,0.11455906821963394
ATL,IAH,0.22529950083194675
ATL,JFK,0.12463117027176927
ATL,LAS,0.16498890737659455
ATL,LAX,0.17694675540765392
ATL,MCI,0.12747088186356076
ATL,MCO,0.2513144758735441
ATL,MDW,0.11410011092623407
ATL,MSP,0.13627010537992237
ATL,OAK,0.018740458015267174
ATL,ORD,0.23939297124600636
ATL,PDX,0.07666389351081532
ATL,PHX,0.14183028286189686
ATL,SAN,0.09632279534109817
ATL,SEA,0.12831530782029948
ATL,SFO,0.14217970049916806
ATL,SJC,0.06282105263157894
ATL,SLC,0.12320632279534109
ATL,SNA,0.06793103448275861
ATL,CLT,0.2037742651136994
ATL,DTW,0.18004991680532445
ATL,PHL,0.20419301164725456
ATL,ABQ,0.03953224206349207
ATL,ABY,0.09103960622710623
ATL,AEX,0.06854100106496272
ATL,AGS,0.14593982960596377
ATL,ASE,0.11959342801448065
ATL,AVP,0.02282442748091603
ATL,BDL,0.09326955074875207
ATL,BMI,0.04396166134185303
ATL,BNA,0.168261231281198
ATL,BOS,0.17175956738768716
ATL,BQK,0.1095527156549521
ATL,BTR,0.11199667221297838
ATL,CAK,0.033846153846153845
ATL,CHO,0.07812566560170393
ATL,CHS,0.10523429179978701
ATL,CLE,0.13690515806988354
ATL,CMH,0.12475873544093179
ATL,CRW,0.1487699680511182
ATL,CSG,0.07196166134185304
ATL,CVG,0.11929284525790348
ATL,DAB,0.061913477537437596
ATL,DCA,0.21162229617304493
ATL,DHN,0.11264962726304581
ATL,EGE,0.04201680672268908
ATL,ELM,0.0
ATL,EVV,0.03572683706070288
ATL,EWN,0.024779874213836477
ATL,EWR,0.24807820299500832
ATL,FAY,0.1530670926517572
ATL,FLL,0.23168885191347754
ATL,FNT,0.05113207547169811
ATL,FSM,0.09393081761006289
ATL,GNV,0.13036421725239616
ATL,GPT,0.09715654952076677
ATL,GRB,0.04563604240282685
ATL,GTR,0.11605910543130991
ATL,HDN,0.047966101694915254
ATL,IAD,0.1477635782747604
ATL,IND,0.13019966722129783
ATL,JAX,0.1505865224625624
ATL,LFT,0.07511182108626198
ATL,LGA,0.22242928452579036
ATL,LNK,0.015748031496062992
ATL,MEM,0.13150526899611759
ATL,MGM,0.15690095846645366
ATL,MIA,0.23990848585690516
ATL,MKE,0.09728785357737105
ATL,MLB,0.05996805111821086
ATL,MLI,0.03832797427652732
ATL,MLU,0.10643237486687966
ATL,MOB,0.1817859123682751
ATL,MSY,0.17567942318358293
ATL,MTJ,0.021304347826086957
ATL,OAJ,0.06536741214057508
ATL,OMA,0.10455074875207987
ATL,ORF,0.10706045479755963
ATL,PBI,0.08907348242811501
ATL,PHF,0.04828671328671328
ATL,PIA,0.11148846960167715
ATL,PIT,0.09933444259567387
ATL,RDU,0.16286189683860233
ATL,RNO,0.031538461538461536
ATL,ROA,0.13657237936772046
ATL,RST,0.013265306122448979
ATL,RSW,0.14
ATL,SAT,0.12221297836938434
ATL,SHV,0.13402662229617307
ATL,SMF,0.0607071547420965
ATL,STL,0.12191902384914031
ATL,TLH,0.12289517470881864
ATL,TPA,0.20303383250138657
ATL,TRI,0.1520766773162939
ATL,TTN,0.008695652173913044
ATL,VLD,0.11951011714589989
ATL,ONT,0.069018281535649
ATL,BUR,0.017589285714285714
ATL,BGR,0.0
ATL,BOI,0.04549055931599573
ATL,MBS,0.0
ATL,SWF,0.025384615384615384
ATL,TVC,0.022222222222222223
ATL,MYR,0.11251736111111112
ATL,ABE,0.14083796296296297
ATL,ALB,0.09848668981481482
ATL,BTV,0.03451388888888889
ATL,BUF,0.08847627314814815
ATL,CID,0.0340625
ATL,DAY,0.09283333333333332
ATL,ELP,0.05508680555555555
ATL,FSD,0.017118055555555553
ATL,FWA,0.1723263888888889
ATL,GEG,0.038526315789473686
ATL,GRR,0.07763888888888888
ATL,GSO,0.13631944444444447
ATL,GSP,0.14649305555555556
ATL,HPN,0.2309583333333333
ATL,HSV,0.12878472222222223
ATL,ICT,0.0893125
ATL,ISP,0.008319327731092436
ATL,JAN,0.1417013888888889
ATL,LEX,0.1297569444444444
ATL,LIT,0.16392361111111112
ATL,MDT,0.0840625
ATL,MSN,0.06510416666666667
ATL,OKC,0.13287326388888887
ATL,PNS,0.1573263888888889
ATL,PSP,0.008849557522123894
ATL,PWM,0.031041666666666665
ATL,RIC,0.15427083333333333
ATL,ROC,0.06895833333333333
ATL,SAV,0.17809027777777778
ATL,SBN,0.2010300925925926
ATL,SGF,0.14503472222222222
ATL,SYR,0.08951620370370371
ATL,TUL,0.07934027777777779
ATL,TUS,0.04098255621693122
ATL,TYS,0.20460648148148147
ATL,COS,0.0502158273381295
ATL,FAT,0.11228571428571428
ATL,SBA,0.05619047619047619
ATL,ACY,0.05210526315789474
AUS,DFW,0.2748853762248105
AUS,ATL,0.10425513033832501
AUS,BWI,0.03197212837837837
AUS,DAL,0.06580698835274541
AUS,DEN,0.15196755407653909
AUS,HOU,0.06653910149750415
AUS,IAH,0.15874930671103715
AUS,JFK,0.11900337837837836
AUS,LAS,0.1329783693843594
AUS,LAX,0.14850682593856657
AUS,MCI,0.04512096774193548
AUS,MCO,0.12110232945091513
AUS,MDW,0.033918469217970044
AUS,MSP,0.046905158069883525
AUS,OAK,0.008701754385964912
AUS,ORD,0.17268370607028755
AUS,PDX,0.037599813432835825
AUS,PHX,0.1366167498613422
AUS,SAN,0.06126475548060708
AUS,SEA,0.07667221297836938
AUS,SFO,0.11092179700499168
AUS,SJC,0.040109612141652616
AUS,SLC,0.06974209650582362
AUS,SNA,0.023280182232346243
AUS,CLT,0.14206322795341098
AUS,DTW,0.043460898502495834
AUS,PHL,0.059064495530012764
AUS,ABQ,0.027415094339622643
AUS,ASE,0.0005263157894736842
AUS,BNA,0.1005116472545757
AUS,BOS,0.07551858014420411
AUS,BTR,0.0
AUS,CLE,0.04092783505154639
AUS,CMH,0.01427797833935018
AUS,CVG,0.057662835249042144
AUS,DCA,0.008330275229357796
AUS,EWR,0.10009515570934256
AUS,FLL,0.05839863713798978
AUS,IAD,0.08570601851851853
AUS,IND,0.06040443574690149
AUS,JAX,0.044814814814814814
AUS,MEM,0.03874242424242424
AUS,MIA,0.12823232323232323
AUS,MSY,0.07355670103092785
AUS,OMA,0.02459016393442623
AUS,PBI,0.0
AUS,PIT,0.02092050209205021
AUS,RDU,0.12058029689608636
AUS,RNO,0.055977443609022556
AUS,RSW,0.02127659574468085
AUS,SMF,0.019488977955911826
AUS,STL,0.02949528563505269
AUS,TPA,0.06282407407407407
AUS,ONT,0.007988505747126437
AUS,BUR,0.005689655172413793
AUS,AMA,0.020818505338078292
AUS,BOI,0.023157894736842106
AUS,PVU,0.0
AUS,SFB,0.03496503496503497
