month,carrier_name,airport_name,predicted_arrival_delay
9,JetBlue Airways,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,JetBlue Airways,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,JetBlue Airways,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,JetBlue Airways,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,Other,46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Nashville, TN: Nashville International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Kansas City, MO: Kansas City International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Denver, CO: Denver International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"San Diego, CA: San Diego International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Boston, MA: Logan International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,CommuteAir LLC dba CommuteAir,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Delta Air Lines Network,Other,46.45570985573682
9,Delta Air Lines Network,"Nashville, TN: Nashville International",46.45570985573682
9,Delta Air Lines Network,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Delta Air Lines Network,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Delta Air Lines Network,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Delta Air Lines Network,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,Delta Air Lines Network,"Kansas City, MO: Kansas City International",46.45570985573682
9,Delta Air Lines Network,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Delta Air Lines Network,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
